Alternaria alternata,Polyketide,Complete Genome,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/874/585/GCF_000874585.1_ViralMultiSegProj30367/GCF_000874585.1_ViralMultiSegProj30367_genomic.fna.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspergillus flavus,Polyketide,Chromosome,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/117/465/GCF_014117465.1_ASM1411746v1/GCF_014117465.1_ASM1411746v1_genomic.fna.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspergillus ochraceoroseus,Polyketide,Contig,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/846/915/GCF_002846915.1_Aspergillus_ochraceoroseus_IBT_24754_v1.1/GCF_002846915.1_Aspergillus_ochraceoroseus_IBT_24754_v1.1_genomic.fna.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspergillus nidulans FGSC A4,Polyketide,Scaffold,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/205/GCF_000149205.2_ASM14920v2/GCF_000149205.2_ASM14920v2_genomic.fna.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorangium cellulosum,Polyketide,Complete Genome,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/067/165/GCF_000067165.1_ASM6716v1/GCF_000067165.1_ASM6716v1_genomic.fna.gz,Complete Genome,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/418/325/GCF_000418325.1_ASM41832v1/GCF_000418325.1_ASM41832v1_genomic.fna.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streptomyces nodosus,Other,Complete Genome,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/704/995/GCF_008704995.1_ASM870499v1/GCF_008704995.1_ASM870499v1_genomic.fna.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streptomyces eurythermus,Polyketide,Scaffold,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/649/115/GCF_014649115.1_ASM1464911v1/GCF_014649115.1_ASM1464911v1_genomic.fna.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinosynnema pretiosum subsp. auranticum,Polyketide,Contig,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/387/285/GCF_013387285.1_ASM1338728v1/GCF_013387285.1_ASM1338728v1_genomic.fna.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stigmatella aurantiaca DW4/3-1,Polyketide,Complete Genome,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/485/GCF_000165485.1_ASM16548v1/GCF_000165485.1_ASM16548v1_genomic.fna.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streptomyces avermitilis,Polyketide,Complete Genome,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/765/GCF_000009765.2_ASM976v2/GCF_000009765.2_ASM976v2_genomic.fna.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
